GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
analytics-service,com.wealthpro.analytics,AnalyticsServiceApplication,5,3,0,0,2,1,1,1,1,1
analytics-service,com.wealthpro.analytics.exception,GlobalExceptionHandler,130,31,0,0,22,6,5,2,5,2
analytics-service,com.wealthpro.analytics.exception,ResourceNotFoundException,4,6,0,0,1,1,1,1,1,1
analytics-service,com.wealthpro.analytics.exception,ResourceAlreadyExistsException,4,0,0,0,1,0,1,0,1,0
analytics-service,com.wealthpro.analytics.configuration,ModelMapperConfiguration,14,0,0,0,4,0,2,0,2,0
analytics-service,com.wealthpro.analytics.configuration,OpenApiConfiguration,17,0,0,0,6,0,2,0,2,0
analytics-service,com.wealthpro.analytics.entities,ComplianceBreach,6,7,2,2,0,3,2,1,0,1
analytics-service,com.wealthpro.analytics.entities,RiskMeasure,3,4,1,1,0,2,1,1,0,1
analytics-service,com.wealthpro.analytics.entities,PerformanceRecord,3,4,1,1,0,2,1,1,0,1
analytics-service,com.wealthpro.analytics.service,AnalyticsServiceImpl,225,450,9,5,50,109,19,13,14,11
analytics-service,com.wealthpro.analytics.enums,BreachStatus,0,21,0,0,0,4,0,1,0,1
analytics-service,com.wealthpro.analytics.enums,MeasureType,0,27,0,0,0,5,0,1,0,1
analytics-service,com.wealthpro.analytics.enums,Period,0,15,0,0,0,3,0,1,0,1
analytics-service,com.wealthpro.analytics.enums,Severity,0,27,0,0,0,5,0,1,0,1
analytics-service,com.wealthpro.analytics.aspect,LoggingAspect,106,0,0,0,16,0,5,0,5,0
analytics-service,com.wealthpro.analytics.controller,AnalyticsControllerImpl,22,55,0,0,3,10,3,8,3,8
