GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-execution-service,com.wealthpro.orderexecution.service,OrderServiceImpl,232,415,19,23,54,107,25,24,8,18
order-execution-service,com.wealthpro.orderexecution.exception,ResourceNotFoundException,4,6,0,0,2,2,1,1,1,1
order-execution-service,com.wealthpro.orderexecution.exception,GlobalExceptionHandler,85,76,0,0,15,14,3,4,3,4
order-execution-service,com.wealthpro.orderexecution.exception,ResourceAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
order-execution-service,com.wealthpro.orderexecution.enums,Side,0,27,0,0,0,5,0,1,0,1
order-execution-service,com.wealthpro.orderexecution.enums,OrderStatus,0,45,0,0,0,8,0,1,0,1
order-execution-service,com.wealthpro.orderexecution.enums,CheckResult,0,15,0,0,0,3,0,1,0,1
order-execution-service,com.wealthpro.orderexecution.enums,PriceType,0,21,0,0,0,4,0,1,0,1
order-execution-service,com.wealthpro.orderexecution.enums,CheckType,0,27,0,0,0,5,0,1,0,1
order-execution-service,com.wealthpro.orderexecution.enums,FillStatus,0,21,0,0,0,4,0,1,0,1
order-execution-service,com.wealthpro.orderexecution.controller,OrderControllerImpl,45,55,0,0,6,12,6,8,6,8
order-execution-service,com.wealthpro.orderexecution.aspect,LoggingAspect,106,0,0,0,20,0,5,0,5,0
order-execution-service,com.wealthpro.orderexecution.configuration,OpenApiConfiguration,17,0,0,0,6,0,2,0,2,0
order-execution-service,com.wealthpro.orderexecution.configuration,ModelMapperConfiguration,18,0,0,0,7,0,2,0,2,0
order-execution-service,com.wealthpro.orderexecution,OrderExecutionServiceApplication,5,3,0,0,2,1,1,1,1,1
order-execution-service,com.wealthpro.orderexecution.entities,Order,3,4,1,1,1,2,1,1,0,1
order-execution-service,com.wealthpro.orderexecution.entities,PreTradeCheck,3,4,1,1,1,2,1,1,0,1
order-execution-service,com.wealthpro.orderexecution.entities,ExecutionFill,3,4,1,1,1,2,1,1,0,1
order-execution-service,com.wealthpro.orderexecution.entities,Allocation,3,4,1,1,1,2,1,1,0,1
